model,term,orig_estimate,boot_median,boot_se,boot_ci_lower,boot_ci_upper,boot_p_value
Negatív,Marginal R2,0.005763499832467206,0.0057704159203070884,0.01079788072663392,1.7310271977895512e-5,0.03854552975027077,0
Negatív,Conditional R2,0.6304734374281985,0.6254549096333306,0.035208276235110615,0.5557716916979384,0.692601654319804,0
Pozitív,Marginal R2,0.03041820539753891,0.02809588218099151,0.0240689878659324,0.0016335210133413213,0.09305376671463941,0
Pozitív,Conditional R2,0.6306952295452701,0.6264670396408605,0.03698613387841113,0.5539274012527157,0.6941236684171698,0
Dezorganizált,Marginal R2,0.047956111864558684,0.05124660769523731,0.02758210221307812,0.010375160049306676,0.1166623837378866,0
Dezorganizált,Conditional R2,0.6276094151066977,0.6245147032879315,0.038298367107095194,0.5523318299810736,0.7014477799096726,0
Negatív - Pozitív,Marginal R2,0.03706636171554942,0.039430018338373216,0.025695882595400864,0.0056609972770565314,0.10305160408325534,0
Negatív - Pozitív,Conditional R2,0.6327095963063751,0.6303931593645831,0.03604125182263448,0.56215394886018,0.6990062934092663,0
Pozitív - Dezorganizált,Marginal R2,0.057267726888642505,0.06625929390465674,0.028594489093086293,0.021457524159067477,0.13249230544649088,0
Pozitív - Dezorganizált,Conditional R2,0.6283421033676939,0.6253750310375608,0.036547224015514905,0.5509630140753555,0.6946485462945384,0
Negatív - Dezorganizált,Marginal R2,0.05936503215847264,0.061503448149091124,0.02609352195991128,0.021108381555453706,0.12024436536122926,0
Negatív - Dezorganizált,Conditional R2,0.6284110787864153,0.6249604010834138,0.03658516637042032,0.5538445534641169,0.6945495687888295,0
Pozitív - Negatív - Dezorganizált,Marginal R2,0.06836744634960304,0.07690232805925062,0.02778222093161706,0.03368867637029122,0.14233114821395706,0
Pozitív - Negatív - Dezorganizált,Conditional R2,0.6295151452047952,0.6247454672033697,0.03729005678519797,0.556422989228479,0.6973707102195208,0
