model,term,orig_estimate,boot_median,boot_se,boot_ci_lower,boot_ci_upper,boot_p_value,p_sign
Negatív,Negatív,-0.040471225767628925,-0.03956947101348789,0.033158385632432244,-0.1081036338117659,0.018873570031359012,0.23,"p > 0,05"
Pozitív,Pozitív,0.13325642767025517,0.1264097050983458,0.05340789962061725,0.0285102059401558,0.23790451294696277,0.012,"p < 0,05"
Dezorganizált,Dezorganizált,0.12243868798126123,0.12571493838982115,0.034249566749200225,0.055711815191185475,0.18748653055118633,0,"p < 0,05"
Negatív - Pozitív,Negatív,-0.04045751849581199,-0.039365216930463784,0.029860693147830637,-0.09890987409972535,0.01739481673435878,0.178,"p > 0,05"
Negatív - Pozitív,Pozitív,0.13323708718240415,0.12923850157260797,0.053402077039097016,0.03001762386597408,0.23885856613211126,0.006,"p < 0,05"
Pozitív - Dezorganizált,Pozitív,0.08267996129357956,0.08114044052033771,0.05837542518577085,-0.019371181624460252,0.20641673263823967,0.118,"p > 0,05"
Pozitív - Dezorganizált,Dezorganizált,0.10578446932249534,0.10984688126821109,0.03703062456211499,0.03233010646460027,0.1717497622070306,0.002,"p < 0,05"
Negatív - Dezorganizált,Negatív,-0.065942151056373,-0.06295722524519971,0.028816514641641987,-0.12445346523151017,-0.008582552312295854,0.016,"p < 0,05"
Negatív - Dezorganizált,Dezorganizált,0.13252130290432937,0.1319699492749236,0.03299582617934264,0.06528013017466265,0.19107957098282957,0,"p < 0,05"
Pozitív - Negatív - Dezorganizált,Negatív,-0.06282768776111616,-0.060959474679540784,0.028959241587023846,-0.12334776320453178,-0.005249352089079631,0.032,"p < 0,05"
Pozitív - Negatív - Dezorganizált,Pozitív,0.07757787829747442,0.07722635022384508,0.05780429002739963,-0.027195367046870485,0.19423591348815195,0.162,"p > 0,05"
Pozitív - Negatív - Dezorganizált,Dezorganizált,0.11642083643620155,0.1168925634030323,0.033289650992908246,0.046483282197037,0.17617793725349157,0,"p < 0,05"
