model,term,orig_estimate,boot_median,boot_se,boot_ci_lower,boot_ci_upper,boot_p_value
Negatív,Marginal R2,"0,006","0,006","0,01","0,00","0,04","0,000"
Negatív,Conditional R2,"0,630","0,625","0,04","0,56","0,69","0,000"
Pozitív,Marginal R2,"0,030","0,028","0,02","0,00","0,09","0,000"
Pozitív,Conditional R2,"0,631","0,626","0,04","0,55","0,69","0,000"
Dezorganizált,Marginal R2,"0,048","0,051","0,03","0,01","0,12","0,000"
Dezorganizált,Conditional R2,"0,628","0,625","0,04","0,55","0,70","0,000"
Negatív - Pozitív,Marginal R2,"0,037","0,039","0,03","0,01","0,10","0,000"
Negatív - Pozitív,Conditional R2,"0,633","0,630","0,04","0,56","0,70","0,000"
Pozitív - Dezorganizált,Marginal R2,"0,057","0,066","0,03","0,02","0,13","0,000"
Pozitív - Dezorganizált,Conditional R2,"0,628","0,625","0,04","0,55","0,69","0,000"
Negatív - Dezorganizált,Marginal R2,"0,059","0,062","0,03","0,02","0,12","0,000"
Negatív - Dezorganizált,Conditional R2,"0,628","0,625","0,04","0,55","0,69","0,000"
Pozitív - Negatív - Dezorganizált,Marginal R2,"0,068","0,077","0,03","0,03","0,14","0,000"
Pozitív - Negatív - Dezorganizált,Conditional R2,"0,630","0,625","0,04","0,56","0,70","0,000"
